iter	Passed	Remaining
0	51	51378
1	52	26166
2	53	17739
3	54	13521
4	55	10980
5	55	9276
6	56	8068
7	57	7160
8	58	6453
9	59	5894
10	60	5453
11	61	5088
12	62	4758
13	63	4475
14	65	4276
15	65	4057
16	66	3864
17	67	3692
18	68	3535
19	69	3393
20	69	3261
21	70	3143
22	71	3034
23	72	2935
24	72	2842
25	73	2758
26	74	2681
27	75	2612
28	76	2547
29	76	2484
30	77	2429
31	78	2379
32	79	2329
33	81	2328
34	82	2284
35	84	2271
36	86	2257
37	88	2242
38	90	2229
39	92	2213
40	93	2189
41	94	2155
42	95	2122
43	96	2089
44	97	2076
45	98	2046
46	99	2017
47	100	1987
48	100	1958
49	101	1929
50	102	1902
51	102	1876
52	103	1851
53	104	1827
54	105	1805
55	106	1789
56	106	1765
57	107	1741
58	107	1720
59	108	1700
60	109	1679
61	109	1659
62	110	1640
63	110	1621
64	111	1604
65	112	1587
66	112	1569
67	113	1551
68	113	1533
69	114	1515
70	114	1498
71	114	1481
72	115	1466
73	115	1450
74	116	1435
75	116	1420
76	117	1406
77	117	1392
78	118	1378
79	118	1364
80	119	1351
81	119	1337
82	119	1322
83	120	1308
84	120	1295
85	120	1283
86	121	1270
87	121	1258
88	121	1245
89	122	1234
90	122	1223
91	122	1211
92	123	1200
93	123	1190
94	123	1179
95	124	1169
96	124	1159
97	124	1149
98	125	1140
99	125	1130
100	125	1121
101	126	1111
102	126	1101
103	126	1092
104	127	1082
105	127	1073
106	127	1064
107	127	1055
108	128	1047
109	128	1038
110	128	1030
111	128	1021
112	129	1013
113	129	1005
114	129	998
115	129	990
116	130	982
117	130	974
118	130	967
119	131	960
120	131	955
121	131	948
122	132	941
123	132	934
124	132	928
125	132	921
126	133	914
127	133	908
128	133	902
129	133	896
130	134	890
131	134	883
132	134	878
133	134	872
134	135	866
135	135	860
136	135	855
137	136	849
138	136	844
139	136	838
140	136	833
141	136	827
142	137	822
143	137	817
144	137	812
145	138	807
146	138	802
147	138	797
148	138	792
149	139	788
150	139	783
151	139	778
152	139	774
153	140	769
154	140	765
155	140	761
156	140	756
157	141	752
158	141	748
159	141	743
160	141	739
161	142	735
162	142	731
163	142	727
164	143	723
165	143	719
166	143	716
167	143	712
168	144	709
169	144	705
170	144	701
171	145	698
172	145	694
173	145	691
174	145	687
175	146	684
176	146	680
177	146	677
178	146	673
179	147	670
180	147	667
181	147	664
182	148	660
183	148	657
184	148	654
185	148	651
186	149	648
187	149	645
188	149	641
189	149	638
190	150	635
191	150	632
192	150	629
193	150	627
194	151	624
195	151	621
196	151	618
197	152	615
198	152	612
199	152	610
200	152	607
201	153	604
202	153	602
203	153	599
204	153	596
205	154	594
206	154	591
207	154	588
208	154	586
209	155	583
210	155	581
211	155	578
212	155	576
213	156	573
214	156	571
215	156	569
216	157	566
217	157	564
218	157	561
219	157	559
220	158	557
221	158	554
222	158	552
223	158	550
224	159	548
225	159	546
226	159	543
227	159	541
228	160	539
229	160	537
230	160	535
231	161	533
232	161	531
233	161	529
234	162	527
235	162	525
236	162	523
237	162	521
238	163	519
239	163	517
240	163	515
241	163	513
242	164	511
243	164	509
244	164	507
245	165	505
246	165	503
247	165	502
248	165	500
249	166	498
250	166	496
251	166	494
252	166	492
253	167	490
254	167	489
255	167	487
256	167	485
257	168	483
258	168	482
259	168	480
260	169	478
261	169	476
262	169	475
263	169	473
264	170	471
265	170	470
266	170	468
267	170	466
268	171	465
269	171	463
270	171	462
271	172	460
272	172	458
273	172	457
274	172	455
275	173	454
276	173	452
277	173	450
278	173	449
279	174	447
280	174	446
281	174	444
282	174	443
283	175	441
284	175	440
285	175	438
286	176	437
287	176	435
288	176	434
289	177	433
290	177	431
291	177	430
292	177	429
293	178	427
294	178	426
295	178	425
296	179	423
297	179	422
298	179	421
299	179	419
300	180	418
301	180	416
302	180	415
303	180	414
304	181	412
305	181	411
306	181	409
307	181	408
308	182	407
309	182	405
310	182	404
311	182	402
312	182	401
313	183	400
314	183	398
315	183	397
316	183	396
317	184	394
318	184	393
319	184	392
320	184	391
321	185	389
322	185	388
323	185	387
324	185	386
325	186	384
326	186	383
327	186	382
328	186	381
329	187	379
330	187	378
331	187	377
332	187	376
333	188	374
334	188	373
335	188	372
336	188	371
337	188	370
338	189	368
339	189	367
340	189	366
341	189	365
342	190	364
343	190	363
344	190	362
345	191	362
346	192	361
347	192	360
348	192	359
349	193	358
350	193	357
351	193	356
352	193	355
353	194	354
354	194	353
355	194	352
356	194	351
357	195	349
358	195	348
359	195	347
360	195	346
361	196	345
362	196	344
363	196	343
364	196	342
365	197	341
366	198	342
367	198	341
368	199	340
369	199	339
370	199	338
371	199	337
372	200	336
373	200	335
374	200	334
